Cultura,Região,Tipo de Solo,Tipo de Irrigação,Tipo de Fertilizante,Área (ha),Produtividade (sacas/ha),Status de Produção
Café,Sudeste,Misto,Seca,Nenhum,49.97,94.64,Alta
Café,Nordeste,Argiloso,Irrigado,Nenhum,14.83,73.65,Alta
Milho,Nordeste,Argiloso,Seca,Orgânico,94.07,33.81,Baixa
Trigo,Norte,Argiloso,Seca,Químico,7.12,36.4,Baixa
Soja,Centro-Oeste,Misto,Seca,Químico,89.88,41.37,Baixa
Café,Sul,Argiloso,Seca,Orgânico,37.05,87.44,Alta
Arroz,Nordeste,Siltoso,Irrigado,Químico,70.41,40.8,Baixa
Arroz,Centro-Oeste,Arenoso,Irrigado,Orgânico,29.44,51.52,Baixa
Café,Centro-Oeste,Argiloso,Seca,Químico,39.67,42.37,Baixa
Arroz,Nordeste,Siltoso,Seca,Nenhum,19.48,61.25,Baixa
Café,Nordeste,Misto,Irrigado,Nenhum,68.75,30.33,Baixa
Café,Sul,Argiloso,Irrigado,Químico,32.82,36.47,Baixa
Arroz,Norte,Argiloso,Irrigado,Químico,61.7,96.28,Alta
Milho,Sudeste,Siltoso,Seca,Nenhum,90.04,32.9,Baixa
Arroz,Sul,Siltoso,Irrigado,Químico,65.47,78.13,Alta
Arroz,Centro-Oeste,Arenoso,Seca,Orgânico,12.53,30.17,Baixa
Milho,Nordeste,Siltoso,Irrigado,Nenhum,14.68,41.52,Baixa
Trigo,Sudeste,Siltoso,Seca,Químico,68.99,47.52,Baixa
Milho,Norte,Siltoso,Irrigado,Orgânico,77.5,43.63,Baixa
Soja,Sul,Misto,Seca,Orgânico,56.6,34.71,Baixa
Arroz,Sudeste,Siltoso,Irrigado,Químico,95.29,68.43,Baixa
Café,Norte,Arenoso,Seca,Orgânico,76.77,32.28,Baixa
Milho,Nordeste,Argiloso,Irrigado,Químico,25.18,79.1,Alta
Soja,Sudeste,Arenoso,Irrigado,Nenhum,19.39,54.48,Baixa
Soja,Nordeste,Arenoso,Seca,Orgânico,24.4,72.01,Alta
Café,Centro-Oeste,Arenoso,Seca,Orgânico,84.78,92.75,Alta
Café,Nordeste,Argiloso,Seca,Orgânico,16.89,46.59,Baixa
Café,Nordeste,Siltoso,Seca,Químico,38.01,49.03,Baixa
Trigo,Sudeste,Argiloso,Irrigado,Orgânico,14.7,98.96,Alta
Trigo,Norte,Arenoso,Irrigado,Químico,32.6,96.43,Alta
Trigo,Sudeste,Arenoso,Seca,Nenhum,89.17,62.1,Baixa
Milho,Sudeste,Arenoso,Seca,Químico,89.17,95.82,Alta
Arroz,Sudeste,Arenoso,Irrigado,Orgânico,96.65,73.07,Alta
Soja,Sul,Siltoso,Seca,Orgânico,85.37,96.8,Alta
Milho,Sudeste,Siltoso,Irrigado,Nenhum,70.07,46.66,Baixa
Soja,Centro-Oeste,Misto,Irrigado,Orgânico,7.8,69.86,Baixa
Soja,Nordeste,Misto,Seca,Nenhum,57.95,65.16,Baixa
Milho,Sudeste,Siltoso,Irrigado,Nenhum,3.0,71.92,Alta
Trigo,Nordeste,Siltoso,Irrigado,Nenhum,41.74,96.62,Alta
Arroz,Sul,Argiloso,Irrigado,Químico,57.33,57.98,Baixa
Arroz,Sudeste,Argiloso,Irrigado,Orgânico,58.94,80.12,Alta
Soja,Centro-Oeste,Arenoso,Irrigado,Nenhum,5.95,38.21,Baixa
Trigo,Centro-Oeste,Argiloso,Seca,Orgânico,77.58,92.67,Alta
Soja,Centro-Oeste,Siltoso,Seca,Químico,7.82,63.99,Baixa
Soja,Centro-Oeste,Argiloso,Irrigado,Químico,77.9,65.93,Baixa
Soja,Centro-Oeste,Arenoso,Seca,Nenhum,37.99,30.43,Baixa
Arroz,Sudeste,Siltoso,Irrigado,Nenhum,26.32,93.77,Alta
Café,Sudeste,Misto,Seca,Nenhum,1.86,80.79,Alta
Café,Sul,Siltoso,Seca,Orgânico,5.07,51.47,Baixa
Arroz,Sul,Argiloso,Irrigado,Químico,97.64,30.84,Baixa
Milho,Centro-Oeste,Arenoso,Seca,Químico,76.34,30.17,Baixa
Milho,Centro-Oeste,Arenoso,Seca,Químico,76.36,58.88,Baixa
Arroz,Norte,Siltoso,Seca,Nenhum,16.63,40.41,Baixa
Soja,Centro-Oeste,Misto,Irrigado,Químico,54.49,73.76,Alta
Soja,Nordeste,Misto,Seca,Químico,21.47,80.34,Alta
Arroz,Sul,Misto,Seca,Nenhum,38.96,89.0,Alta
Café,Nordeste,Argiloso,Irrigado,Químico,12.82,87.94,Alta
Trigo,Norte,Arenoso,Seca,Químico,12.52,61.92,Baixa
Arroz,Sudeste,Arenoso,Irrigado,Nenhum,60.79,65.71,Baixa
Café,Sudeste,Argiloso,Seca,Químico,27.4,38.53,Baixa
Soja,Centro-Oeste,Misto,Irrigado,Orgânico,78.88,85.86,Alta
Arroz,Norte,Arenoso,Seca,Químico,48.96,90.6,Alta
Trigo,Sul,Arenoso,Seca,Químico,58.17,79.83,Alta
Arroz,Sudeste,Misto,Irrigado,Químico,76.28,92.57,Alta
Trigo,Sudeste,Misto,Seca,Orgânico,46.94,67.35,Baixa
Café,Nordeste,Siltoso,Irrigado,Químico,24.7,45.73,Baixa
Café,Sul,Arenoso,Irrigado,Químico,38.37,78.48,Alta
Milho,Sudeste,Siltoso,Seca,Nenhum,34.91,56.18,Baixa
Café,Sudeste,Misto,Seca,Orgânico,2.47,39.85,Baixa
Trigo,Sudeste,Argiloso,Irrigado,Orgânico,19.2,56.48,Baixa
Arroz,Nordeste,Argiloso,Irrigado,Químico,1.21,85.69,Alta
Arroz,Norte,Misto,Seca,Nenhum,80.37,56.27,Baixa
Soja,Norte,Misto,Irrigado,Orgânico,21.23,54.52,Baixa
Arroz,Sudeste,Siltoso,Irrigado,Químico,95.31,53.91,Baixa
Café,Sudeste,Siltoso,Seca,Orgânico,51.15,64.38,Baixa
Milho,Nordeste,Arenoso,Seca,Nenhum,86.58,69.22,Baixa
Trigo,Norte,Arenoso,Irrigado,Nenhum,78.85,46.75,Baixa
Trigo,Sudeste,Siltoso,Irrigado,Nenhum,79.64,37.97,Baixa
Arroz,Centro-Oeste,Misto,Seca,Orgânico,14.3,95.93,Alta
Café,Sul,Argiloso,Seca,Nenhum,54.44,69.22,Baixa
Trigo,Sudeste,Arenoso,Seca,Químico,84.05,56.51,Baixa
Soja,Norte,Siltoso,Seca,Orgânico,48.33,88.42,Alta
Milho,Norte,Misto,Irrigado,Orgânico,51.85,77.57,Alta
Milho,Sul,Siltoso,Irrigado,Químico,65.01,60.9,Baixa
Arroz,Norte,Misto,Seca,Nenhum,62.97,74.7,Alta
Soja,Norte,Argiloso,Seca,Nenhum,1.77,92.67,Alta
Arroz,Sul,Siltoso,Seca,Orgânico,55.41,55.08,Baixa
Café,Sudeste,Siltoso,Irrigado,Orgânico,34.84,64.76,Baixa
Arroz,Sudeste,Arenoso,Irrigado,Orgânico,82.72,96.97,Alta
Milho,Norte,Argiloso,Seca,Nenhum,26.52,96.42,Alta
Café,Sudeste,Argiloso,Seca,Nenhum,34.74,61.9,Baixa
Milho,Centro-Oeste,Siltoso,Seca,Orgânico,10.94,34.12,Baixa
Café,Sul,Argiloso,Irrigado,Nenhum,20.51,58.68,Baixa
Arroz,Sul,Siltoso,Irrigado,Nenhum,11.61,67.68,Baixa
Arroz,Sul,Argiloso,Seca,Orgânico,74.26,41.19,Baixa
Soja,Norte,Misto,Seca,Orgânico,39.84,75.95,Alta
Café,Sudeste,Argiloso,Seca,Nenhum,6.04,71.76,Alta
Milho,Sul,Argiloso,Seca,Químico,35.61,95.21,Alta
Trigo,Nordeste,Siltoso,Irrigado,Químico,12.5,80.24,Alta
Café,Centro-Oeste,Arenoso,Irrigado,Químico,87.77,61.51,Baixa
Café,Nordeste,Misto,Seca,Nenhum,7.51,58.76,Baixa
Café,Sudeste,Argiloso,Seca,Químico,68.17,52.95,Baixa
Café,Norte,Arenoso,Irrigado,Orgânico,79.72,73.25,Alta
Trigo,Centro-Oeste,Siltoso,Irrigado,Orgânico,84.87,56.52,Baixa
